Nombre,Categoria,Rubro,Telefono,Direccion,Ciudad,Confianza,Notas
Moscatelli Gustavo - Toyota,Concesionaria oficial,Autos 0km y usados Toyota,(03442) 42-5212,9 de Julio 1624,Concepción del Uruguay,Media - directorio online,Concesionario oficial Toyota confirmado por 2+ fuentes independientes. Prioridad alta: marca de alto volumen.
Gerardo Weigandt - Servicio Oficial,Concesionaria oficial,Servicio oficial Renault,(0)3442 428 996,8 de Junio 1265,Concepción del Uruguay,Media - directorio online,Servicio oficial Renault. Buen candidato para paquete de service + venta de usados.
Taraborelli,Concesionaria,Compra/venta autos usados y 0km,(03442) 44-2250,Galarza 1756,Concepción del Uruguay,Media - directorio online,Multimarca.
Automotores Almada,Concesionaria,Compra/venta autos usados y 0km,(03442) 42-9422,9 de Julio 1624,Concepción del Uruguay,Media - directorio online,Verificar dirección - coincide con la de Moscatelli Toyota en la fuente; puede ser edificio compartido o dato desactualizado.
Chita Automotores de Elvio Orcellet,Concesionaria,Compra/venta autos usados y 0km,(03442) 44-2782,Galarza 1712,Concepción del Uruguay,Media - directorio online,Multimarca.
Manuel Automotor,Concesionaria,Compra/venta autos usados y 0km,(03442) 44-2896,Galarza 1660,Concepción del Uruguay,Media - directorio online,Multimarca.
Cazzulino Automotores,Concesionaria,Compra/venta autos usados y 0km,(03442) 42-4611,Galarza 1403,Concepción del Uruguay,Media - directorio online,Multimarca.
Amed Camil,Concesionaria,Compra/venta autos usados y 0km,(03442) 42-5733,Galarza 855,Concepción del Uruguay,Media - directorio online,Multimarca.
Rodar Automoviles y Motocicletas,Concesionaria,Compra/venta autos y motos usados,(03442) 44-9140,9 de Julio 1772,Concepción del Uruguay,Media - directorio online,Autos y motos.
Automotores las Lomas,Concesionaria,Compra/venta usados,No confirmado - buscar en Google/redes,A confirmar,Concepción del Uruguay,Baja - solo mencionado en reseñas,Mencionado en sitio de reseñas (gtm.com.ar) con buena calificación; no se encontró teléfono/dirección verificable en esta búsqueda.
AUTOCAM,Concesionaria,Venta de autos y pickups,No confirmado - buscar en Google/redes,A confirmar,Concepción del Uruguay,Baja - solo mencionado en reseñas,Idem anterior.
MARTIN AUTOMOTORES,Concesionaria,Compra/venta usados,No confirmado - buscar en Google/redes,A confirmar,Concepción del Uruguay,Baja - solo mencionado en reseñas,Idem anterior.
Fernando Poerio Automotores,Concesionaria,Compra/venta usados,No confirmado - buscar en Google/redes,A confirmar,Concepción del Uruguay,Baja - solo mencionado en reseñas,Idem anterior.
Banchik Leon SA - Distribuidor Nacional,Repuestos/accesorios,Repuestos y accesorios para autos,(03442) 42-2484,9 de Julio 1300,Concepción del Uruguay,Media - directorio online,Distribuidor - target secundario (venta de repuestos vía afiliado).
Frenos el Negro,Taller especializado,Reparación de frenos,(03442) 43-1983,9 de Julio 1668,Concepción del Uruguay,Media - directorio online,Especializado en frenos - buen fit para banner en artículos técnicos.
Arcore SA,Taller,Chapa y pintura,(03442) 43-2485,9 de Julio 1315,Concepción del Uruguay,Media - directorio online,Chapa y pintura.
Turbos Uruguay Reparación y Venta,Taller especializado,Reparación de turbos,(03442) 43-0838,Chiloteguy Anastacio 119,Concepción del Uruguay,Media - directorio online,Nicho específico (turbos) - buen fit para artículo técnico dedicado a futuro.
Registro Automotor,Servicio,Trámites de dominio e informes,(03442) 42-4316,B. Mitre 587,Concepción del Uruguay,Media - directorio online,No es taller, pero es relevante para la guía de compra (verificación de dominio).
YPF (lubricentro),Lubricentro,"Aceites, filtros y service rápido",(03442) 43-2238,9 de Julio 560,Concepción del Uruguay,Media - directorio online,"Cadena grande - contacto probablemente pasa por franquiciado local, no central."
Servicios Sabisky,Taller,Taller automotor general,(03442) 42-6991,Esc. de Ingenieros 63,Concepción del Uruguay,Media - directorio online,General.
Taller Rebacco,Taller,Taller automotor general,(03442) 42-2123,O. Leguizamón 529,Concepción del Uruguay,Media - directorio online,General.
